LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,No ZEZ
NLD,SELFEMP,MEN,PC_EMP,A,1983,12.29585,0
NLD,SELFEMP,MEN,PC_EMP,A,1985,11.99147,0
NLD,SELFEMP,MEN,PC_EMP,A,1987,11.49723,0
NLD,SELFEMP,MEN,PC_EMP,A,1988,11.9212,0
NLD,SELFEMP,MEN,PC_EMP,A,1989,11.71404,0
NLD,SELFEMP,MEN,PC_EMP,A,1990,11.83803,0
NLD,SELFEMP,MEN,PC_EMP,A,1991,11.33406,0
NLD,SELFEMP,MEN,PC_EMP,A,1992,12.31341,0
NLD,SELFEMP,MEN,PC_EMP,A,1993,12.79651,0
NLD,SELFEMP,MEN,PC_EMP,A,1994,13.31724,0
NLD,SELFEMP,MEN,PC_EMP,A,1995,13.66935,0
NLD,SELFEMP,MEN,PC_EMP,A,1996,13.62134,0
NLD,SELFEMP,MEN,PC_EMP,A,1997,13.76192,0
NLD,SELFEMP,MEN,PC_EMP,A,1998,13.08132,0
NLD,SELFEMP,MEN,PC_EMP,A,2000,12.60991,0
NLD,SELFEMP,MEN,PC_EMP,A,2001,13.04324,0
NLD,SELFEMP,MEN,PC_EMP,A,2002,13.4217,0
NLD,SELFEMP,MEN,PC_EMP,A,2003,13.76859,0
NLD,SELFEMP,MEN,PC_EMP,A,2004,14.01921,1
NLD,SELFEMP,MEN,PC_EMP,A,2005,14.55842,1
NLD,SELFEMP,MEN,PC_EMP,A,2006,15.07403,1
NLD,SELFEMP,MEN,PC_EMP,A,2007,15.73495,1
NLD,SELFEMP,MEN,PC_EMP,A,2008,15.75151,1
NLD,SELFEMP,MEN,PC_EMP,A,2009,16.10133,0
NLD,SELFEMP,MEN,PC_EMP,A,2010,18.03674,0
NLD,SELFEMP,MEN,PC_EMP,A,2011,18.21503,0
NLD,SELFEMP,MEN,PC_EMP,A,2012,18.4992,0
NLD,SELFEMP,MEN,PC_EMP,A,2013,19.32581,0
NLD,SELFEMP,MEN,PC_EMP,A,2014,19.95661,0
NLD,SELFEMP,MEN,PC_EMP,A,2015,19.81684,0
NLD,SELFEMP,MEN,PC_EMP,A,2016,19.8814,0
NLD,SELFEMP,MEN,PC_EMP,A,2017,19.7661,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1983,11.7238,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1985,10.43846,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1987,14.02741,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1988,12.2832,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1989,12.22919,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1990,13.36797,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1991,11.57843,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1992,9.963184,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1993,10.19955,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1994,11.04191,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1995,11.29079,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1996,10.29443,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1997,10.40945,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1998,9.636287,0
NLD,SELFEMP,WOMEN,PC_EMP,A,1999,9.756701,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2000,9.244706,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2001,9.712766,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2002,9.423183,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2003,8.93979,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2004,9.556352,1
NLD,SELFEMP,WOMEN,PC_EMP,A,2005,9.717763,1
NLD,SELFEMP,WOMEN,PC_EMP,A,2006,9.890799,1
NLD,SELFEMP,WOMEN,PC_EMP,A,2007,10.02603,1
NLD,SELFEMP,WOMEN,PC_EMP,A,2008,10.05866,1
NLD,SELFEMP,WOMEN,PC_EMP,A,2009,10.47249,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2010,11.45397,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2011,11.55922,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2012,11.69138,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2013,12.23834,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2014,12.66956,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2015,13.36453,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2016,13.2375,0
NLD,SELFEMP,WOMEN,PC_EMP,A,2017,13.22462,0
